warmups	4
runs	15
profile	release
case	kind	status	median_ms	min_ms	max_ms	reason
compile_small_parse	lib	measured	0.008	0.008	0.013	
compile_small_resolve	lib	measured	0.139	0.121	0.270	
compile_small_sema	lib	measured	0.021	0.020	0.041	
compile_small_codegen	lib	measured	0.024	0.021	0.033	
compile_medium_resolve	lib	measured	0.401	0.353	0.435	
compile_medium_sema	lib	measured	0.083	0.081	0.089	
compile_medium_codegen	lib	measured	0.087	0.085	0.093	
runtime_loop_heavy	lib	measured	90.271	53.096	117.376	
runtime_arith_heavy	lib	measured	322.042	260.346	419.551	
runtime_arith_local_const	lib	measured	273.296	196.759	296.847	
runtime_arith_local_local	lib	measured	344.607	288.879	421.735	
runtime_arith_chain	lib	measured	331.852	277.113	492.479	
runtime_call_heavy	lib	measured	36.150	28.044	46.075	
runtime_array_heavy	lib	measured	106.547	94.662	123.072	
runtime_struct_heavy	lib	measured	61.306	46.821	129.768	
runtime_struct_field_heavy	lib	measured	138.500	127.468	150.681	
runtime_struct_method_complex	lib	measured	192.960	186.171	297.679	
runtime_string_heavy	lib	measured	112.982	103.084	120.977	
cli_small_check	cli	measured	9.277	8.692	14.372	
cli_small_run	cli	measured	10.426	8.924	13.511	
cli_medium_check	cli	measured	10.169	8.804	11.958	
cli_medium_run	cli	measured	27.232	25.141	31.834	
